"BEG","SNAP_ID","SQL_ID","EXECUTIONS_DELTA","BUFFER_GETS_DELTA","DISK_READS_DELTA","ELAPSED_TIME_DELTA","ROWS_PROCESSED_DELTA","AVGBG","AVGPR","AVGELAPSED",
"23/10/2023 17:15",9559,"4f43ch8kn749p",9789,32312548,16708172,871171020,5938,3300.903871692716314230258453366023087139,1706.831341301460823373173970783532536521,88994.8942690775360098069261415874961692,
"23/10/2023 17:15",9559,"4f43ch8kn749p",8102,27056078,14108073,701143171,5307,3339.431992100715872624043446062700567761,1741.307454949395211058997778326339175512,86539.5175265366576154036040483831152802,
"23/10/2023 17:30",9560,"4f43ch8kn749p",13933,47558342,26387553,1997082933,12885,3413.35979329649034665901098112395033374,1893.888825091509366252781167013564917821,143334.7400416277901385200602885236488911,
"23/10/2023 17:30",9560,"4f43ch8kn749p",17472,60121424,33257426,2874002605,16873,3441.015567765567765567765567765567765568,1903.469894688644688644688644688644688645,164491.9073374542124542124542124542124542,
"23/10/2023 17:30",9560,"4f43ch8kn749p",13933,47558342,26387553,1997082933,12885,3413.35979329649034665901098112395033374,1893.888825091509366252781167013564917821,143334.7400416277901385200602885236488911,
"23/10/2023 17:30",9560,"4f43ch8kn749p",17472,60121424,33257426,2874002605,16873,3441.015567765567765567765567765567765568,1903.469894688644688644688644688644688645,164491.9073374542124542124542124542124542,
"23/10/2023 17:45",9561,"4f43ch8kn749p",6101,21031218,11446211,1277620865,8117,3447.175544992624159973774791017865923619,1876.120472053761678413374856580888378954,209411.7136534994263235535158170791673496,
"23/10/2023 17:45",9561,"4f43ch8kn749p",6101,21031218,11446211,1277620865,8117,3447.175544992624159973774791017865923619,1876.120472053761678413374856580888378954,209411.7136534994263235535158170791673496,
"23/10/2023 17:45",9561,"4f43ch8kn749p",7365,24068410,12642855,1253105125,7318,3267.944331296673455532926001357773251867,1716.613034623217922606924643584521384929,170143.2620502376103190767141887304820095,
"23/10/2023 17:45",9561,"4f43ch8kn749p",7365,24068410,12642855,1253105125,7318,3267.944331296673455532926001357773251867,1716.613034623217922606924643584521384929,170143.2620502376103190767141887304820095,
